time,.x,.y,.phi,.vx,.vy,.omega,.steer,.throttle
2024/08/01/14:41:29.107245,-1.5454870545761108,3.068710365554508,-1.8125698843025178,7.9005442934548835,-4.2721017599405995,1.6751618023433879,0.33999999999999997,4.497437953948975
2024/08/01/14:41:29.132441,-1.696472923081857,2.9025126640085874,-1.7706908392439331,8.037739805099132,-4.253906341746528,1.6929056802717157,0.41,4.4956159591674805
2024/08/01/14:41:29.157467,-1.840603471989986,2.7266874735971793,-1.7283681972371403,8.171216417568031,-4.241220673487558,1.6905246735503887,0.33999999999999997,4.493357181549072
2024/08/01/14:41:29.182688,-1.9773762092564429,2.5415762234511914,-1.6861050803983806,8.300032022937899,-4.236264593691536,1.7397546810539197,0.41,4.490675926208496
2024/08/01/14:41:29.207512,-2.106453202957988,2.347638287495005,-1.6426112133720325,8.422278156851677,-4.2432535152574085,1.7674596037492059,0.33999999999999997,4.487609386444092
2024/08/01/14:41:29.232548,-2.2273692371674705,2.1452357337502965,-1.5984247232783024,8.537007099970392,-4.264565403146626,1.8372883471583012,0.41,4.484182357788086
2024/08/01/14:41:29.257185,-2.339838529320713,1.9348372106763188,-1.552492514599345,8.64339537527962,-4.302218306165355,1.8805434149836993,0.33999999999999997,4.48042106628418
2024/08/01/14:41:29.282018,-2.4434210140545365,1.7168199577215684,-1.5054789292247523,8.740797321479798,-4.357670077900983,1.955846709075218,0.41,4.476346015930176
2024/08/01/14:41:29.307014,-2.5378674496805798,1.4916552685506765,-1.456582761497872,8.82929242793961,-4.430662868995159,1.9971514364033283,0.33999999999999997,4.471982002258301
2024/08/01/14:41:29.332139,-2.6227564970220083,1.2597375330506888,-1.4066539755877887,8.90887186462146,-4.520864577101838,2.0625994315544287,0.41,4.467349529266357
2024/08/01/14:41:29.357002,-2.697864834415094,1.0215409300742657,-1.355088989798928,8.980189506466576,-4.626439342792008,2.086133437057819,0.33999999999999997,4.462493896484375
2024/08/01/14:41:29.381987,-2.7627927618253882,0.7774831406163796,-1.3029356538724826,9.04422540229339,-4.744846427241655,2.1300011175803415,0.41,4.4574294090271
2024/08/01/14:41:29.407103,-2.817340656968752,0.5280452423301996,-1.249685625932974,9.101807726218484,-4.873872561875713,2.1252039927979753,0.33999999999999997,4.452169895172119
2024/08/01/14:41:29.431995,-2.8611413558603647,0.27367354618823314,-1.1965555261130247,9.155176004351414,-5.008813042304979,2.1414183293416635,0.41,4.446773052215576
2024/08/01/14:41:29.456991,-2.8940240877372596,0.014859644327364252,-1.143020067879483,9.204894607124421,-5.148308943044938,2.104337943608447,0.33999999999999997,4.441233158111572
2024/08/01/14:41:29.482009,-2.915668113672434,-0.24792071491706819,-1.0904116192892719,9.254526033275628,-5.285856474842243,2.092546135728051,0.41,4.435587406158447
2024/08/01/14:41:29.507021,-2.92594019957789,-0.5141650875982686,-1.0380979658960705,9.30392497710709,-5.421842709310715,2.02523073939808,0.33999999999999997,4.429854869842529
2024/08/01/14:41:29.532076,-2.924577774678556,-0.7833727542117643,-0.9874671974111185,9.35777881031198,-5.548479513349872,1.989655015994666,0.41,4.424070835113525
2024/08/01/14:41:29.557164,-2.9114935357376,-1.0550340017689526,-0.9377258220112519,9.41483953958067,-5.66832985169557,1.8985935275222792,0.33999999999999997,4.418249607086182
2024/08/01/14:41:29.582283,-2.8864899141226004,-1.328631421705491,-0.8902609838231949,9.480498715267027,-5.772867079230104,1.8465628378846632,0.41,4.41241979598999
2024/08/01/14:41:29.607198,-2.8495314894602104,-1.603654568412043,-0.8440969128760782,9.552137845238295,-5.866879238531353,1.7410491576682465,0.33999999999999997,4.406601905822754
2024/08/01/14:41:29.632241,-2.800487372629884,-1.8795792510485339,-0.800570683934372,9.635316955177545,-5.941635986525877,1.6817199146521704,0.41,4.400824069976807
2024/08/01/14:41:29.657254,-2.739377025764555,-2.1559024447826896,-0.7585276860680678,9.72596109319758,-6.00397761484239,1.5725299633982757,0.33999999999999997,4.395092964172363
2024/08/01/14:41:29.682298,-2.666133845036391,-2.4321029660856417,-0.7192144369831108,9.829271887249567,-6.045499566527088,1.5158864650421513,0.41,4.389448165893555
2024/08/01/14:41:29.707184,-2.5808324954920723,-2.707693852260038,-0.681317275357057,9.939845881777467,-6.07482985887952,1.4142287149107948,0.33999999999999997,4.383910655975342
2024/08/01/14:41:29.732209,-2.4834654069826385,-2.9821655426127687,-0.6459615574842871,10.062119738247365,-6.084416279987866,1.3701834960581394,0.41,4.378492832183838
2024/08/01/14:41:29.757218,-2.3741603564493077,-3.2550554294944307,-0.6117069700828336,10.18970410004686,-6.084358746465293,1.2866501308961944,0.33999999999999997,4.3732194900512695
2024/08/01/14:41:29.782195,-2.252961465231451,-3.5258722691553674,-0.5795407168104287,10.326066896471575,-6.0684258167032885,1.2639646113162524,0.41,4.368103504180908
2024/08/01/14:41:29.807275,-2.1200450529351365,-3.7941848354736436,-0.5479416015275225,10.389652222236654,-6.004592134439521,1.2071794115042496,0.33999999999999997,4.363165855407715
2024/08/01/14:41:29.832295,-1.9765297323760893,-4.057629996303813,-0.5177621162399162,10.438922213731475,-5.918522029667843,1.211720831540649,0.41,4.358432292938232
2024/08/01/14:41:29.857388,-1.8229950466670326,-4.31536455022358,-0.4874690954514,10.487245758683507,-5.832467436426436,1.1865039053289173,0.33999999999999997,4.353914260864258
2024/08/01/14:41:29.882271,-1.6596493859327122,-4.566995619686928,-0.45780649781817706,10.536214037563907,-5.743534952852751,1.2212951092314077,0.41,4.349625587463379
2024/08/01/14:41:29.907180,-1.486831838600303,-4.812218162153991,-0.42727412008739185,10.579995111955283,-5.662482091009412,1.2295523880241102,0.33999999999999997,4.345581531524658
